season,team,player,nation,pos,age,born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
2425,Crystal Palace,Daniel Muñoz,COL,"DF,MF",28-173,1996,10.0,465,377,87,16,0,1,21,69,2,0,0,0,350,1,13
2425,Crystal Palace,Dean Henderson,ENG,GK,27-248,1997,11.0,333,221,111,23,0,0,0,0,0,0,0,0,212,1,0
2425,Crystal Palace,Eberechi Eze,ENG,"MF,FW",26-139,1998,9.0,375,307,61,26,3,3,30,2,17,8,4,0,283,7,10
2425,Crystal Palace,Eddie Nketiah,ENG,"MF,FW",25-169,1999,5.4,122,120,2,0,0,0,5,1,0,0,0,0,88,0,8
2425,Crystal Palace,Ismaila Sarr,SEN,"MF,FW",26-264,1998,5.4,146,143,2,0,1,0,18,2,0,0,0,0,98,1,6
2425,Crystal Palace,Jean-Philippe Mateta,FRA,FW,27-140,1997,8.4,127,124,3,0,1,0,8,0,0,0,0,0,83,0,5
2425,Crystal Palace,Jefferson Lerma,COL,"MF,DF",30-021,1994,4.6,246,235,10,4,2,1,1,6,0,0,0,0,192,1,1
2425,Crystal Palace,Jeffrey Schlupp,GHA,"MF,DF",31-328,1992,0.8,41,38,3,0,0,0,3,3,0,0,0,0,33,0,0
2425,Crystal Palace,Joachim Andersen,DEN,DF,28-168,1996,1.0,83,81,2,1,0,0,1,0,1,0,0,0,61,0,0
2425,Crystal Palace,Jordan Ayew,GHA,"FW,MF",33-065,1991,0.2,10,8,2,0,0,1,1,0,1,1,0,0,8,0,0
2425,Crystal Palace,Justin Devenny,NIR,MF,21-035,2003,0.8,26,22,4,2,0,0,1,0,0,0,0,0,20,0,1
2425,Crystal Palace,Marc Guéhi,ENG,DF,24-125,2000,11.0,603,568,32,29,1,5,1,2,0,0,0,0,513,3,3
2425,Crystal Palace,Maxence Lacroix,FRA,DF,24-223,2000,8.0,376,366,10,8,1,3,3,2,0,0,0,0,297,0,2
2425,Crystal Palace,Nathaniel Clyne,ENG,"DF,MF",33-224,1991,3.3,122,115,7,0,1,1,1,5,0,0,0,0,90,0,6
2425,Crystal Palace,Odsonne Édouard,FRA,"MF,FW",26-304,1998,1.3,28,28,0,0,0,0,1,0,0,0,0,0,17,0,2
2425,Crystal Palace,Trevoh Chalobah,ENG,DF,25-133,1999,5.0,172,165,7,5,0,0,4,2,0,0,0,0,132,0,2
2425,Crystal Palace,Tyrick Mitchell,ENG,"DF,MF",25-075,1999,10.4,478,401,76,3,0,0,43,73,0,0,0,0,344,1,14
2425,Crystal Palace,Will Hughes,ENG,MF,29-212,1995,5.1,232,208,21,4,0,1,19,0,14,8,1,0,174,3,3
2425,Everton,Abdoulaye Doucouré,MLI,MF,31-319,1993,7.2,266,256,9,2,0,1,6,0,0,0,0,0,219,1,10
2425,Everton,Ashley Young,ENG,DF,39-129,1985,8.7,446,350,93,4,2,1,17,89,0,0,0,0,326,3,9
2425,Everton,Beto,GNB,FW,26-289,1998,1.1,13,11,2,0,0,1,0,0,0,0,0,0,4,0,0
2425,Everton,Dominic Calvert-Lewin,ENG,FW,27-244,1997,10.0,153,153,0,0,0,1,3,0,0,0,0,0,90,0,9
2425,Everton,Dwight McNeil,ENG,"MF,FW",24-359,1999,9.9,371,300,69,24,7,5,65,3,30,18,4,4,270,2,12
2425,Everton,Harrison Armstrong,ENG,MF,17-301,2007,0.0,4,3,0,0,0,0,1,0,0,0,0,0,1,1,0
2425,Everton,Idrissa Gana Gueye,SEN,MF,35-050,1989,8.2,333,323,9,2,2,0,3,2,0,0,0,0,283,1,8
2425,Everton,Iliman Ndiaye,SEN,FW,24-254,2000,9.0,237,232,5,0,0,0,11,3,1,1,0,0,192,0,7
2425,Everton,Jack Harrison,ENG,FW,27-361,1996,7.0,177,170,4,1,1,0,20,2,0,0,0,0,119,3,9
2425,Everton,Jake O'Brien,IRL,DF,23-184,2001,0.3,15,11,4,0,0,0,0,4,0,0,0,0,12,0,0
2425,Everton,James Garner,ENG,"DF,MF",23-247,2001,2.8,102,78,22,0,0,0,6,22,0,0,0,0,68,2,8
2425,Everton,James Tarkowski,ENG,DF,31-362,1992,11.0,417,399,16,14,0,6,0,0,0,0,0,0,332,2,7
2425,Everton,Jarrad Branthwaite,ENG,DF,22-141,2002,2.1,84,84,0,0,0,0,0,0,0,0,0,0,66,0,2
2425,Everton,Jesper Lindstrøm,DEN,FW,24-260,2000,3.9,134,112,20,5,1,0,29,1,14,7,4,1,89,2,6
2425,Everton,Jordan Pickford,ENG,GK,30-253,1994,11.0,430,278,147,61,0,1,0,0,0,0,0,0,267,5,0
2425,Everton,Mason Holgate,ENG,"FW,DF",28-024,1996,0.1,2,0,2,0,0,0,0,2,0,0,0,0,2,0,0
2425,Everton,Michael Keane,ENG,DF,31-309,1993,9.0,308,303,1,1,0,11,1,0,0,0,0,0,253,4,5
2425,Everton,Orel Mangala,BEL,MF,26-242,1998,5.1,192,189,3,3,0,0,2,0,0,0,0,0,170,0,4
2425,Everton,Roman Dixon,ENG,DF,19-325,2004,1.0,19,16,3,0,0,0,0,3,0,0,0,0,11,0,0
2425,Everton,Séamus Coleman,IRL,DF,36-035,1988,1.0,43,32,11,0,0,0,1,11,0,0,0,0,32,0,0
2425,Everton,Tim Iroegbunam,ENG,MF,21-138,2003,4.3,99,97,0,0,0,0,0,0,0,0,0,0,70,2,4
2425,Everton,Vitaliy Mykolenko,UKR,DF,25-170,1999,8.3,344,265,76,5,0,0,22,71,0,0,0,0,258,3,7
2425,Fulham,Adama Traoré,ESP,"FW,MF",28-295,1996,8.0,245,245,0,0,1,1,37,0,0,0,0,0,178,0,5
2425,Fulham,Alex Iwobi,NGA,FW,28-196,1996,10.5,487,471,12,2,7,7,36,7,2,0,1,0,373,4,15
2425,Fulham,Andreas Pereira,BRA,MF,28-319,1996,9.3,454,360,91,20,2,4,78,3,52,23,25,0,317,3,7
2425,Fulham,Antonee Robinson,USA,DF,27-099,1997,11.0,608,508,96,4,0,0,43,92,0,0,0,0,477,4,16
2425,Fulham,Bernd Leno,GER,GK,32-256,1992,11.0,433,366,67,26,0,0,0,0,0,0,0,0,360,0,0
2425,Fulham,Calvin Bassey,NGA,DF,24-320,1999,11.0,688,638,49,15,0,4,1,0,0,0,0,0,615,1,5
2425,Fulham,Emile Smith Rowe,ENG,MF,24-110,2000,8.8,440,429,9,4,2,1,5,1,0,0,0,0,397,2,9
2425,Fulham,Harrison Reed,ENG,MF,29-293,1995,0.7,39,34,5,3,0,0,5,0,1,0,1,0,28,0,3
2425,Fulham,Harry Wilson,WAL,"FW,MF",27-238,1997,0.9,47,38,9,6,1,1,4,0,3,1,0,0,36,0,2
