season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
2425,Everton,Ashley Young,ENG,DF,39-129,1985,8.7,2,1,0,8,9,0,17,10,11,0,0,0,37,5,6,45.5
2425,Everton,Beto,GNB,FW,26-289,1998,1.1,0,0,0,4,3,2,0,0,0,0,0,0,2,9,7,56.3
2425,Everton,Dominic Calvert-Lewin,ENG,FW,27-244,1997,10.0,1,0,0,13,12,16,3,5,4,0,0,0,18,47,46,50.5
2425,Everton,Dwight McNeil,ENG,"MF,FW",24-359,1999,9.9,1,0,0,6,10,1,65,5,4,0,0,0,41,2,11,15.4
2425,Everton,Harrison Armstrong,ENG,MF,17-301,2007,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
2425,Everton,Idrissa Gana Gueye,SEN,MF,35-050,1989,8.2,1,0,0,17,9,0,3,11,18,0,0,0,46,8,1,88.9
2425,Everton,Iliman Ndiaye,SEN,FW,24-254,2000,9.0,1,0,0,7,15,5,11,13,11,0,0,0,69,3,3,50.0
2425,Everton,Jack Harrison,ENG,FW,27-361,1996,7.0,0,0,0,2,13,2,20,4,5,0,0,0,26,2,3,40.0
2425,Everton,Jake O'Brien,IRL,DF,23-184,2001,0.3,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,
2425,Everton,James Garner,ENG,"DF,MF",23-247,2001,2.8,1,0,0,4,0,0,6,4,8,0,0,0,14,1,2,33.3
2425,Everton,James Tarkowski,ENG,DF,31-362,1992,11.0,3,0,0,13,7,0,0,11,16,0,1,0,34,33,13,71.7
2425,Everton,Jarrad Branthwaite,ENG,DF,22-141,2002,2.1,0,0,0,0,1,0,0,4,2,0,0,0,7,5,7,41.7
2425,Everton,Jesper Lindstrøm,DEN,FW,24-260,2000,3.9,0,0,0,0,3,0,29,3,5,0,0,0,19,3,1,75.0
2425,Everton,Jordan Pickford,ENG,GK,30-253,1994,11.0,1,0,0,0,1,0,0,1,0,0,0,0,13,2,0,100.0
2425,Everton,Mason Holgate,ENG,"FW,DF",28-024,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
